,Unnamed: 0.1,Unnamed: 0,Country,Region,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year,Mean Rank,Rank,Rank,Rank,Rank
0,0,0,Switzerland,Western Europe,1,7.587,1.39651,0.94143,0.66557,0.41978,0.29678,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
1,1,1,Iceland,Western Europe,2,7.561,1.30232,0.94784,0.62877,0.14145,0.4363,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
2,2,2,Denmark,Western Europe,3,7.527,1.32548,0.87464,0.64938,0.48357,0.34139,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
3,3,3,Norway,Western Europe,4,7.522,1.459,0.88521,0.66973,0.36503,0.34699,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
4,5,5,Finland,Western Europe,6,7.406,1.29025,0.88911,0.64169,0.41372,0.23351,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
5,6,6,Netherlands,Western Europe,7,7.378,1.32944,0.89284,0.61576,0.31814,0.4761,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
6,7,7,Sweden,Western Europe,8,7.364,1.33171,0.91087,0.6598,0.43844,0.36262,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
7,12,12,Austria,Western Europe,13,7.2,1.33723,0.89042,0.62433,0.18676,0.33088,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
8,16,16,Luxembourg,Western Europe,17,6.946,1.56391,0.91894,0.61583,0.37798,0.28034,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
9,17,17,Ireland,Western Europe,18,6.94,1.33596,0.89533,0.61777,0.28703,0.45901,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
10,18,18,Belgium,Western Europe,19,6.937,1.30782,0.89667,0.5845,0.2254,0.2225,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
11,20,20,United Kingdom,Western Europe,21,6.867,1.26637,0.90943,0.59625,0.32067,0.51912,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
12,25,25,Germany,Western Europe,26,6.75,1.32792,0.89186,0.61477,0.21843,0.28214,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
13,28,28,France,Western Europe,29,6.575,1.27778,0.94579,0.55011,0.20646,0.12332,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
14,35,35,Spain,Western Europe,36,6.329,1.23011,0.95562,0.45951,0.06398,0.18227,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
15,36,36,Malta,Western Europe,37,6.302,1.2074,0.88721,0.60365,0.13586,0.51752,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
16,49,49,Italy,Western Europe,50,5.948,1.25114,0.95446,0.26236,0.02901,0.22823,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
17,65,65,North Cyprus,Western Europe,66,5.695,1.20806,0.92356,0.49027,0.1428,0.26169,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
18,66,66,Cyprus,Western Europe,67,5.689,1.20813,0.92356,0.40672,0.06146,0.30638,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
19,87,87,Portugal,Western Europe,88,5.102,1.15991,0.87519,0.51469,0.01078,0.13719,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
20,101,101,Greece,Western Europe,102,4.857,1.15406,0.88213,0.07699,0.01397,0.0,2015,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
21,0,0,Denmark,Western Europe,1,7.526,1.44178,0.79504,0.57941,0.44453,0.36171,2016,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
22,1,1,Switzerland,Western Europe,2,7.509,1.52733,0.86303,0.58557,0.41203,0.28083,2016,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619,24.94047619047619
